Column1,Invoice_ID,Branch,Customer_type,Gender,Product_line,Unit_price,Quantity,Tax_5%,Total,Date,Time,Payment,Rating,City,COGS,Profit
2169,307-85-2293,B,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,3/7/2019,13:58,Ewallet,9.7,Mandalay,211.176,52.794
387,725-56-0833,A,Normal,Female,Health and beauty,32.32,10,16.16,339.36,2/20/2019,16:49,Credit card,10,Yangon,271.488,67.872
1066,285-68-5083,C,Normal,Female,Sports and travel,24.74,3,3.711,77.931,2/15/2019,17:47,Credit card,10,Naypyitaw,62.3448,15.5862
2074,347-34-2234,B,Normal,Female,Sports and travel,55.07,9,24.7815,520.4115,2/3/2019,13:40,Ewallet,10,Mandalay,416.3292,104.0823
2171,423-57-2993,B,Normal,Male,Sports and travel,93.39,6,28.017,588.357,3/27/2019,19:18,Ewallet,10,Mandalay,470.6856,117.6714
2865,866-70-2814,B,Normal,Female,Electronic accessories,52.79,10,26.395,554.295,2/25/2019,11:58,Ewallet,10,Mandalay,443.436,110.859
23,636-48-8204,A,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2/17/2019,11:15,Ewallet,9.9,Yangon,145.152,36.288
103,212-62-1842,A,Normal,Male,Food and beverages,58.26,6,17.478,367.038,3/28/2019,16:44,Cash,9.9,Yangon,293.6304,73.4076
188,400-60-7251,A,Normal,Male,Home and lifestyle,74.07,1,3.7035,77.7735,2/10/2019,12:50,Ewallet,9.9,Yangon,62.2188,15.5547
194,831-07-6050,A,Normal,Male,Electronic accessories,32.71,5,8.1775,171.7275,3/19/2019,11:30,Credit card,9.9,Yangon,137.382,34.3455
384,662-72-2873,A,Normal,Female,Food and beverages,40.94,5,10.235,214.935,1/6/2019,13:58,Ewallet,9.9,Yangon,171.948,42.987
762,410-67-1709,A,Member,Female,Fashion accessories,63.88,8,25.552,536.592,1/20/2019,17:48,Ewallet,9.9,Yangon,429.2736,107.3184
873,166-19-2553,A,Member,Male,Sports and travel,89.06,6,26.718,561.078,1/18/2019,17:26,Cash,9.9,Yangon,448.8624,112.2156
